"","DocId","category"
"196","1425765615","Image/Photograph"
"197","1418921396","Feature, Article"
"198","1371092687","Feature, Article"
"199","1371433023","Feature, Article"
"200","1418922024","Image/Photograph"
"201","1425815147","Feature, Article"
"202","1324867377","Feature, Article"
"203","1420028838","Feature, Article"
"204","1371429152","Feature, Article"
"205","1371413316","Feature, Article"
"206","1418979517","Image/Photograph"
"207","1319935994","Feature, Article"
"208","1369970843","Feature, Article"
"209","1416471951","Image/Photograph"
"210","1426589768","Feature, Article"
"211","1416611063","Feature, Article"
"212","1369979814","Feature, Article"
"213","1426574375","Feature, Article"
"214","1425800845","Feature, Article"
"215","1319875412","Feature, Article"
"216","1418941663","Feature, Article"
"217","1324856729","Feature, Article"
"218","1371891741","Feature, Article"
"219","1416621804","Feature, Article"
"220","1321942620","Front Page/Cover Story"
"221","1425468046","Feature, Article"
"222","1416442123","Feature, Article"
"223","1416722619","Feature, Article"
"224","1321337079","Feature, Article"
"225","1416568323","Feature, Article"
"226","1371775748","Image/Photograph"
"227","1371431059","Feature, Article"
"228","1321980021","Letter to the Editor, Correspondence"
"229","1371757994","Image/Photograph"
"230","1425787189","Feature, Article"
"231","1324868816","Feature, Article"
"232","1371491945","Feature, Article"
"233","1420036782","Feature, Article"
"234","1418989450","Feature, Article"
"235","1321959602","Image/Photograph"
"236","1321958264","Image/Photograph"
"237","1416727500","Image/Photograph"
"238","1319904253","Feature, Article"
"239","1371737989","Feature, Article"
"240","1371880655","Feature, Article"
"241","1369966435","Feature, Article"
"242","1371435898","Obituary"
"243","1425470867","Front Page/Cover Story"
"244","1426589444","Feature, Article"
"245","1371600314","Feature, Article"
"246","1426586373","Letter to the Editor, Correspondence"
"247","1371337415","Feature, Article"
"248","1420005327","Feature, Article"
"249","1416702234","Image/Photograph"
"250","1416602786","Image/Photograph"
"251","1420030615","Feature, Article"
"252","1321058905","Feature, Article"
"253","1416533144","Front Page/Cover Story"
"254","1321319345","Feature, Article"
"255","1420031469","Feature, Article"
"256","1425467520","Feature, Article"
"257","1369910177","Feature, Article"
"258","1369972279","Feature, Article"
"259","1418961707","Feature, Article"
"260","1425795022","Feature, Article"
"261","1416477052","Feature, Article"
"262","1321461571","Feature, Article"
"263","1416718380","Feature, Article"
"264","1371890907","Feature, Article"
"265","1371573470","Feature, Article"
"266","1371467085","Feature, Article"
"267","1371488215","Feature, Article"
"268","1420008751","Feature, Article"
"269","1371635451","Front Page/Cover Story"
"270","1418985785","Feature, Article"
"271","1420035315","Feature, Article"
"272","1420028729","Feature, Article"
"273","1416744147","Image/Photograph"
"274","1371428599","Feature, Article"
"275","1416468542","Feature, Article"
"276","1369950683","Feature, Article"
"277","1418921614","Feature, Article"
"278","1425783917","Feature, Article"
"279","1425411863","Feature, Article"
"280","1426585723","Feature, Article"
"281","1418944603","Image/Photograph"
"282","1371438125","Feature, Article"
"283","1321535675","Feature, Article"
"284","1371882230","Feature, Article"
"285","1369499713","Feature, Article"
"286","1369495357","Feature, Article"
"287","1371754617","Feature, Article"
"288","1370007601","Feature, Article"
"289","1371407875","Feature, Article"
"290","1371632399","Feature, Article"
"291","1369533622","Feature, Article"
"292","1371340201","Feature, Article"
"293","1369919550","Feature, Article"
"294","1324748437","Feature, Article"
"295","1371710325","Feature, Article"
"296","1416740980","Image/Photograph"
"297","1371337946","Feature, Article"
"298","1425437595","Feature, Article"
"299","1418973575","Feature, Article"
"300","1416767152","Feature, Article"
"301","1369956111","Feature, Article"
"302","1418970934","Feature, Article"
"303","1321535664","Feature, Article"
"304","1371709216","Image/Photograph"
"305","1425423511","Front Page/Cover Story"
"306","1425760589","Feature, Article"
"307","1324783367","Feature, Article"
"308","1371635829","Feature, Article"
"309","1426595795","Feature, Article"
"310","1371331065","Feature, Article"
"311","1425468115","Feature, Article"
"312","1324790619","Feature, Article"
"313","1369993747","Letter to the Editor, Correspondence"
"314","1324804236","Advertisement"
"315","1369920041","Feature, Article"
"316","1416729866","Image/Photograph"
"317","1324777808","Letter to the Editor, Correspondence"
"318","1324882698","Feature, Article"
"319","1324805243","Front Page/Cover Story"
"320","1418912976","Feature, Article"
"321","1371337986","Feature, Article"
"322","1369987594","Feature, Article"
"323","1371338920","Feature, Article"
"324","1418972418","Feature, Article"
"325","1416544325","Editorial, Commentary"
"326","1416697966","Feature, Article"
"327","1418973371","Feature, Article"
"328","1324803292","Front Page/Cover Story"
"329","1324790897","Feature, Article"
"330","1426575765","Feature, Article"
"331","1371573510","Feature, Article"
"332","1425789430","Feature, Article"
"333","1418970987","Front Page/Cover Story"
"334","1416709758","Feature, Article"
"335","1416566882","Feature, Article"
"336","1319875820","Feature, Article"
"337","1420009548","Feature, Article"
"338","1416767283","Feature, Article"
"339","1416483011","Feature, Article"
"340","1371576756","Front Page/Cover Story"
"341","1425823645","Advertisement"
"342","1371778346","Feature, Article"
"343","1321239156","Feature, Article"
"344","1369987790","Image/Photograph"
"345","1321360005","Feature, Article"
"346","1371625452","Feature, Article"
"347","1371542878","Feature, Article"
"348","1425481434","Feature, Article"
"349","1416554157","Feature, Article"
"350","1420033411","Letter to the Editor, Correspondence"
"351","1426582856","Feature, Article"
"352","1371537632","Feature, Article"
"353","1420006822","Feature, Article"
"354","1371853164","Feature, Article"
"355","1371741317","Advertisement"
"356","1426587563","Feature, Article"
"357","1322113828","Image/Photograph"
"358","1418929289","Feature, Article"
"359","1371430543","Image/Photograph"
"360","1371737174","Feature, Article"
"361","1319851218","Feature, Article"
"362","1416596281","Feature, Article"
"363","1418980649","Feature, Article"
"364","1425765121","Feature, Article"
"365","1418961153","Letter to the Editor, Correspondence"
"366","1425438752","Feature, Article"
"367","1371883128","Feature, Article"
"368","1324806151","Letter to the Editor, Correspondence"
"369","1371430504","Feature, Article"
"370","1321525852","Feature, Article"
"371","1321239240","Feature, Article"
"372","1418986977","Feature, Article"
"373","1324795382","Feature, Article"
"374","1321217110","Feature, Article"
"375","1420027044","Feature, Article"
"376","1425478689","Feature, Article"
"377","1418944551","Feature, Article"
"378","1321539038","Feature, Article"
"379","1416441372","Feature, Article"
"380","1371611161","Feature, Article"
"381","1418970645","Feature, Article"
"382","1371780617","Letter to the Editor, Correspondence"
"383","1416739969","Feature, Article"
"384","1371638747","Feature, Article"
"385","1324899400","Feature, Article"
"386","1418981934","Feature, Article"
"387","1369970272","Letter to the Editor, Correspondence"
"388","1371754852","Feature, Article"
"389","1369981524","Feature, Article"
"390","1371868698","Feature, Article"
"391","1425794543","Feature, Article"
"392","1416593590","Feature, Article"
"393","1416736192","Feature, Article"
"394","1371339190","Feature, Article"
"395","1425455818","Feature, Article"
"396","1371575159","Feature, Article"
"397","1416492906","Feature, Article"
"398","1425767248","Feature, Article"
"399","1371412383","Feature, Article"
"400","1371573112","Feature, Article"
"401","1371735038","Image/Photograph"
"402","1416766353","Feature, Article"
"403","1369919225","Feature, Article"
"404","1371335334","Letter to the Editor, Correspondence"
"405","1319875903","Feature, Article"
"406","1324804922","Advertisement"
"407","1425486063","Feature, Article"
"408","1425473325","Advertisement"
"409","1371774218","Letter to the Editor, Correspondence"
"410","1321357500","Feature, Article"
"411","1425750566","Feature, Article"
"412","1371601977","Feature, Article"
"413","1321209218","Feature, Article"
"414","1371599915","Feature, Article"
"415","1371727923","Feature, Article"
"416","1369985471","Feature, Article"
"417","1418961842","Feature, Article"
"418","1416579424","Feature, Article"
"419","1416635079","Feature, Article"
"420","1416571502","Feature, Article"
"421","1371409752","Feature, Article"
"422","1371429268","Feature, Article"
"423","1371340547","Feature, Article"
"424","1416735327","Feature, Article"
"425","1371466648","Feature, Article"
"426","1416701658","Feature, Article"
"427","1369499145","Editorial, Commentary"
"428","1321496138","Front Page/Cover Story"
"429","1371408153","Feature, Article"
"430","1416687125","Feature, Article"
"431","1416683178","Feature, Article"
"432","1418974591","Feature, Article"
"433","1416661194","Feature, Article"
"434","1371773465","Feature, Article"
"435","1426589221","Feature, Article"
"436","1425424961","Feature, Article"
"437","1321198821","Letter to the Editor, Correspondence"
"438","1371429595","Feature, Article"
"439","1416639704","Feature, Article"
"440","1416744707","Feature, Article"
"441","1369871684","Feature, Article"
"442","1425373943","Feature, Article"
